AlbumID,Album,ScenaristeID,DessinateurID,EditeurID,PremiereEdition
1,Astérix le Gaulois,1,1,1,1961
2,La Serpe d’or,1,1,1,1962
3,Astérix et les Goths,1,1,1,1963
4,Astérix Gladiateur,1,1,1,1964
5,Le Tour de Gaule d’Astérix,1,1,1,1965
6,Astérix et Cléopâtre,1,1,1,1965
7,Le Combat des chefs,1,1,1,1966
8,Astérix chez les Bretons,1,1,1,1966
9,Astérix et les Normands,1,1,1,1967
10,Astérix légionnaire,1,1,1,1967
11,Le Bouclier arverne,1,1,1,1968
12,Astérix aux jeux Olympiques,1,1,1,1968
13,Astérix et le chaudron,1,1,1,1969
14,Astérix en Hispanie,1,1,1,1969
15,La Zizanie,1,1,1,1970
16,Astérix chez les Helvètes,1,1,1,1970
17,Le Domaine des dieux,1,1,1,1971
18,Les Lauriers de César,1,1,1,1972
19,Le Devin,1,1,1,1972
20,Astérix en Corse,1,1,1,1973
21,Le Cadeau de César,1,1,1,1974
22,La Grande Traversée,1,1,1,1975
23,Obélix et Compagnie,1,1,1,1976
24,Astérix chez les Belges,1,1,1,1979
25,Le Grand Fossé,2,1,2,1980
26,L’Odyssée d’Astérix,2,1,2,1981
27,Le Fils d’Astérix,2,1,2,1983
28,Astérix chez Rahazade,2,1,2,1987
29,La Rose et le glaive,2,1,2,1991
30,La Galère d’Obélix,2,1,2,1996
31,Astérix et Latraviata,2,1,2,2001
32,Astérix et la rentrée gauloise,1,1,2,2003
33,Le Ciel lui tombe sur la tête,2,1,2,2005
34,L’Anniversaire d’Astérix et Obélix - Le Livre d’or,3,1,2,2009
35,Astérix chez les Pictes,4,2,2,2013
